name,color
android,#1BAA2A
arrays,#9FE9B9
regex,#29A97E
multithreading,#91ACD4
swing,#AC14DF
eclipse,#443A81
android eclipse,#1D2CD1
string,#661113
arraylist,#098B84
generics,#9BC116
hibernate,#923579
spring,#66572C
spring spring-mvc,#7E89AC
maven,#26929B
android xml,#CA2CB9
jsp servlets,#B78A19
json,#665496
mysql,#5A5486
android android-fragments,#AFB8F0
recursion,#4866C5
hibernate jpa,#A8729F
inheritance,#5D8184
regex string,#A5D662
javafx,#2FFA98
collections,#F7DD25
spring hibernate,#C7A53F
xml,#E951EA
hashmap,#4879AA
android sqlite,#7B6246
algorithm,#D27932
servlets,#C0528F
reflection,#44A83D
enums,#410BC8
jsp,#25E7BE
android json,#96E436
android android-asynctask,#7DBBCC
json jackson,#18B45A
if-statement,#BCF711
android libgdx,#74269E
sockets,#5917EB
loops,#718662
swing jtable,#B51890
oop,#784AA6
selenium selenium-webdriver,#8C80FC
android multithreading,#5E8D77
netbeans,#1F37F4
date,#8BC0E2
exception,#B02889
java-util-scanner,#FEACD4
arrays string,#112514
eclipse maven,#226342
mysql jdbc,#3E63C6
jdbc,#DEB642
xml jaxb,#73402A
swing jframe,#397748
junit,#720CED
nullpointerexception,#25ECE6
linked-list,#2A4B53
android android-intent,#C666F6
file,#9834C5
gwt,#EA427B
libgdx,#A2A298
multithreading concurrency,#DD385C
swing user-interface,#704C2A
android android-layout,#153DA8
methods,#97BBB0
spring spring-mvc spring-security,#443E05
selenium,#AC894B
arrays arraylist,#015E64
arrays sorting,#1891E9
for-loop,#1E4345
json gson,#695E7D
java-8,#3249E1
design-patterns,#410124
constructor,#8665DE
class,#9CAD93
excel apache-poi,#817B11
java-ee,#BC7209
hadoop mapreduce,#869756
sql,#6672E5
jpa,#55BE88
mysql hibernate,#BE4DF4
selenium-webdriver,#7DC439
sorting,#78BC59
exception-handling,#A69E69
random,#CB49D1
spring jsp spring-mvc,#AD2303
android arraylist,#72217A
android android-studio,#17E6E5
apache-poi,#F59D5B
list,#5DC672
android listview,#FDE25D
mongodb,#B6A0EA
file-io,#6D19C4
applet,#C1BE67
intellij-idea,#D36855
tomcat,#0E6185
while-loop,#539ACC
lambda java-8,#58D375
jasper-reports,#EA8FAD
